Mes,Brasil,Chile,Uruguay,Estados Unidos y Canada,Resto de America,Europa,Resto del Mundo
1/1/2017,"37,323","11,405","1,714","27,091","38,179","45,443",14682
1/2/2017,"21,024","15,787","2,216","21,052","28,479","38,491",13267
1/3/2017,"33,221","17,105","3,054","25,180","27,773","40,246",13485
1/4/2017,"37,883","14,359","3,173","18,332","32,408","34,639",10432
1/5/2017,"44,897","14,749","3,374","14,582","31,082","22,266",11501
1/6/2017,"48,352","13,384","4,241","13,699","26,267","20,825",9149
1/7/2017,"65,906","15,595","2,972","15,999","32,782","19,184",6421
1/8/2017,"49,770","15,066","3,619","17,265","33,065","22,811",10361
1/9/2017,"54,383","17,784","3,797","13,822","32,419","21,179",11977
1/10/2017,"54,123","19,462","4,074","16,049","39,536","29,515",14322
1/11/2017,"47,622","17,686","3,946","25,523","41,291","44,625",13771
1/12/2017,"43,282","14,580","3,178","25,355","44,430","44,925",18044
1/1/2018,"45,827","11,034","2,435","30,976","37,189","45,098",18440
1/2/2018,"26,253","14,287","2,090","20,888","25,103","36,008",15526
1/3/2018,"27,143","13,614","2,358","24,703","33,308","42,262",15959
1/4/2018,"38,582","14,031","2,991","19,608","32,731","36,667",14064
1/5/2018,"41,497","16,722","3,358","16,183","30,208","27,095",12121
1/6/2018,"47,744","12,539","2,585","15,101","29,397","19,096",10279
1/7/2018,"65,867","19,202","2,703","15,369","31,090","22,946",10143
1/8/2018,"57,048","17,037","3,610","17,064","32,707","26,024",11488
1/9/2018,"54,956","22,456","2,924","15,013","34,751","24,515",12889
1/10/2018,"51,199","21,715","3,545","16,941","38,303","29,837",16902
1/11/2018,"55,378","25,839","3,107","21,983","41,463","47,860",12171
1/12/2018,"54,786","17,944","2,922","27,783","49,610","44,222",19309
1/1/2019,"64,850","13,554","1,398","35,515","44,165","55,175",16348
1/2/2019,"29,150","20,500","2,043","22,376","31,015","40,498",13170
1/3/2019,"46,355","15,303","1,979","27,256","34,141","49,647",15925
1/4/2019,"51,496","17,311","4,906","18,257","36,656","40,040",10587
1/5/2019,"57,727","20,831","3,814","14,181","33,669","27,245",11647
1/6/2019,"61,931","17,593","4,481","12,876","32,015","20,973",9378
1/7/2019,"73,885","18,119","3,704","18,836","33,629","24,798",9128
1/8/2019,"62,234","15,599","3,342","15,808","35,050","27,976",10489
1/9/2019,"56,520","22,771","3,651","12,046","35,769","24,038",11078
1/10/2019,"54,129","18,226","2,898","14,630","41,075","26,983",11318
1/11/2019,"50,660","20,572","3,202","21,370","39,430","39,755",11014
